home_fd,away_fd,match_round,content_type,highlight_idx,player,minute,is_goal,event_type,commentary
Leverkusen,Werder Bremen,0,highlight,0,Victor Okoh Boniface,24,1,shot,"[calm, building] Twenty-four minutes, Leverkusen circling... [EXCITED] Boniface strikes! [SHOUTING] GOOOAAL! GOAL-O! OYA! [crowd cheering] [pause] [warmly] Clinical finish—one of his fourteen for this dominant campaign. The floodgates open in Cologne."
Leverkusen,Werder Bremen,0,highlight,1,Granit Xhaka,59,1,shot,"[calm, building] Xhaka lines it up from an angle nobody gives him...

[EXCITED] He strikes it—

[SHOUTING] GOOOAAAAAL! TOR! WUNDERBAR! [crowd cheering]

[pause]

[warmly] One of just three for Granit this season, but what a moment—Leverkusen utterly dominant now, two-nil, and Bremen broken."
Leverkusen,Werder Bremen,0,highlight,2,Florian Wirtz,67,1,shot,"[calm, building] Here in the 67th minute, Wirtz finds space from that impossible angle...

[EXCITED] He shifts, he shoots—

[SHOUTING] GOAAAAAL! TOOOOOR! [crowd cheering]

[pause]

[warmly] One of his eleven for the campaign—Florian Wirtz, Leverkusen's creative heartbeat, makes it 3-0. Pure artistry from geometry itself."
Leverkusen,Werder Bremen,0,highlight,3,Florian Wirtz,82,1,shot,"[calm, building] The ball finds Wirtz in the box, the chance is there...

[EXCITED] He strikes it cleanly—

[SHOUTING] GOOOAAL! TOOOOOR! [crowd cheering]

[pause]

[warmly] One of his eleven for the campaign. Wirtz, the creative heartbeat, adds another as Leverkusen dismantles Bremen. Pure dominance."
Leverkusen,Werder Bremen,0,highlight,4,Florian Wirtz,89,1,shot,"[calm, building] Wirtz shapes it from a difficult angle... [EXCITED] here's the chance! [SHOUTING] GOOOAAL! TOOOOOR! [crowd cheering] [pause] [warmly] His hat-trick complete! One of eleven for the campaign—the creative heartbeat of Leverkusen's dominance, TOOOOOR!"
Leverkusen,Werder Bremen,0,intro,-1,,0,0,intro,"[calm, building] Willkommen zur BayArena, wo Bayer Leverkusen heute gegen Werder Bremen antreten. [EXCITED] Die Werkself zerlegen Bremen mit fünf Toren – Wirtz vollendet seinen Hattrick in einer dominanten Vorstellung! [warmly]"
Ein Frankfurt,Leverkusen,0,highlight,0,Granit Xhaka,11,1,shot,"[calm, building] Xhaka circling, space opening on the left... [EXCITED] he shifts, he strikes from an impossible angle— [SHOUTING] GOOOAAAAAL! TOR! WUNDERBAR! [crowd cheering] [pause] [warmly] And one of his precious three for the season, struck with audacity from the Swiss metronome. Leverkusen's statement of intent."
Ein Frankfurt,Leverkusen,0,highlight,1,Hugo Ekitike,31,1,shot,"[calm, building] A difficult chance here for Ekitike... [EXCITED] He takes it on, shoots! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Hugo Ekitike levels it in the 31st—Ein Frankfurt finds hope, even as the tide turns against them. GOAAAAAL!"
Ein Frankfurt,Leverkusen,0,highlight,2,Patrik Schick,43,1,shot,"[calm, building] Schick with space at the edge of the box, forty-third minute... [EXCITED] he shapes to shoot, difficult angle— [SHOUTING] GOOOAAAAAL! GÓL! Neuvěřitelné! [crowd cheering] [pause] [warmly] One of his seven for the season, and Leverkusen have turned it on their heads. Clinical finishing when it matters most."
Ein Frankfurt,Leverkusen,0,highlight,3,Exequiel Alejandro Palacios,57,1,shot,"[calm, building] Palacios prowls the box, Leverkusen suffocating Frankfurt's defense...

[EXCITED] He strikes! Clinical! Close range!

[SHOUTING] GOOOOOLAZO! [crowd cheering]

[pause]

[warmly] One of just four for Palacios this season, but what a moment—the Argentine's clinical finish makes it three, Leverkusen absolutely dominant."
